Number of parameters: 24,627,840
iter 282: loss 5.0957, time 3932.35ms, mfu 0.05%
iter 283: loss 4.3921, time 4786.35ms, mfu 0.05%
iter 284: loss 3.9066, time 4784.83ms, mfu 0.05%
iter 285: loss 4.2762, time 4783.29ms, mfu 0.05%
iter 286: loss 4.3285, time 4783.32ms, mfu 0.05%
iter 287: loss 4.3137, time 4785.07ms, mfu 0.05%
iter 288: loss 4.0089, time 3476.68ms, mfu 0.05%
iter 289: loss 4.3311, time 3473.78ms, mfu 0.05%
iter 290: loss 4.5160, time 4787.24ms, mfu 0.05%
iter 291: loss 4.1002, time 4783.86ms, mfu 0.05%
iter 292: loss 4.5509, time 4779.53ms, mfu 0.05%
iter 293: loss 4.1501, time 4133.14ms, mfu 0.05%
iter 294: loss 4.1189, time 4782.56ms, mfu 0.05%
iter 295: loss 4.3906, time 4783.79ms, mfu 0.05%
iter 296: loss 4.4225, time 4124.73ms, mfu 0.05%
iter 297: loss 3.6841, time 4781.81ms, mfu 0.05%
iter 298: loss 3.9468, time 4784.53ms, mfu 0.05%
iter 299: loss 4.2770, time 2839.86ms, mfu 0.05%
iter 300: loss 4.5894, time 4128.53ms, mfu 0.05%
iter 301: loss 4.1654, time 3485.92ms, mfu 0.05%
iter 302: loss 4.0837, time 4015.08ms, mfu 0.05%
iter 303: loss 4.3718, time 4139.85ms, mfu 0.05%
iter 304: loss 4.4869, time 4784.92ms, mfu 0.05%
iter 305: loss 4.1818, time 4779.94ms, mfu 0.05%
iter 306: loss 4.2605, time 4565.50ms, mfu 0.05%
iter 307: loss 3.9683, time 4454.13ms, mfu 0.05%
iter 308: loss 4.2581, time 4786.96ms, mfu 0.05%
iter 309: loss 3.9105, time 4762.99ms, mfu 0.05%
iter 310: loss 4.3995, time 4788.64ms, mfu 0.05%
iter 311: loss 4.3550, time 4784.05ms, mfu 0.04%
iter 312: loss 4.3135, time 4122.76ms, mfu 0.05%
iter 313: loss 4.2255, time 4130.66ms, mfu 0.05%
iter 314: loss 4.3784, time 4017.79ms, mfu 0.05%
iter 315: loss 4.5611, time 4785.40ms, mfu 0.05%
iter 316: loss 4.0917, time 3483.36ms, mfu 0.05%
iter 317: loss 4.4745, time 4781.86ms, mfu 0.05%
iter 318: loss 4.3971, time 4782.53ms, mfu 0.05%
iter 319: loss 4.3993, time 4780.80ms, mfu 0.05%
iter 320: loss 3.7725, time 3479.80ms, mfu 0.05%
iter 321: loss 4.1422, time 4113.50ms, mfu 0.05%
iter 322: loss 3.6660, time 3502.62ms, mfu 0.05%
