Number of parameters: 24,627,840
iter 275: loss 4.8072, time 4807.90ms, mfu 0.06%
iter 276: loss 4.4369, time 4806.18ms, mfu 0.06%
iter 277: loss 4.5741, time 4808.22ms, mfu 0.05%
iter 278: loss 4.0535, time 4813.37ms, mfu 0.05%
iter 279: loss 4.2067, time 3168.30ms, mfu 0.05%
iter 280: loss 4.4825, time 1802.40ms, mfu 0.06%
iter 281: loss 4.6620, time 4634.00ms, mfu 0.06%
iter 282: loss 5.0930, time 4807.56ms, mfu 0.06%
iter 283: loss 4.3915, time 4807.33ms, mfu 0.06%
iter 284: loss 3.9080, time 2410.17ms, mfu 0.06%
iter 285: loss 4.2810, time 4661.33ms, mfu 0.06%
iter 286: loss 4.3322, time 4807.16ms, mfu 0.05%
iter 287: loss 4.3107, time 4807.78ms, mfu 0.05%
iter 288: loss 4.0114, time 2194.88ms, mfu 0.06%
iter 289: loss 4.3253, time 1726.82ms, mfu 0.06%
iter 290: loss 4.5136, time 2521.51ms, mfu 0.06%
iter 291: loss 4.0917, time 4806.96ms, mfu 0.06%
iter 292: loss 4.5519, time 4807.60ms, mfu 0.06%
iter 293: loss 4.1547, time 4809.19ms, mfu 0.06%
iter 294: loss 4.1189, time 4812.85ms, mfu 0.06%
iter 295: loss 4.3908, time 4808.53ms, mfu 0.06%
iter 296: loss 4.4213, time 4808.20ms, mfu 0.05%
iter 297: loss 3.6860, time 4807.31ms, mfu 0.05%
iter 298: loss 3.9533, time 1938.66ms, mfu 0.06%
iter 299: loss 4.2803, time 3259.98ms, mfu 0.06%
iter 300: loss 4.5897, time 4786.00ms, mfu 0.06%
iter 301: loss 4.1652, time 4785.03ms, mfu 0.05%
iter 302: loss 4.0879, time 2511.90ms, mfu 0.06%
iter 303: loss 4.3723, time 2523.13ms, mfu 0.06%
iter 304: loss 4.4815, time 4809.40ms, mfu 0.06%
iter 305: loss 4.1898, time 4807.37ms, mfu 0.06%
iter 306: loss 4.2588, time 4807.55ms, mfu 0.05%
iter 307: loss 3.9665, time 4148.40ms, mfu 0.05%
iter 308: loss 4.2514, time 1487.56ms, mfu 0.06%
iter 309: loss 3.9085, time 3763.23ms, mfu 0.06%
iter 310: loss 4.4051, time 4673.14ms, mfu 0.06%
iter 311: loss 4.3589, time 4784.22ms, mfu 0.06%
iter 312: loss 4.3172, time 2026.06ms, mfu 0.06%
iter 313: loss 4.2253, time 4369.49ms, mfu 0.06%
iter 314: loss 4.3802, time 4805.71ms, mfu 0.06%
iter 315: loss 4.5528, time 2921.98ms, mfu 0.06%
iter 316: loss 4.0914, time 1649.56ms, mfu 0.07%
iter 317: loss 4.4778, time 3493.78ms, mfu 0.06%
iter 318: loss 4.3947, time 4808.26ms, mfu 0.06%
iter 319: loss 4.4033, time 4808.67ms, mfu 0.06%
iter 320: loss 3.7755, time 4807.52ms, mfu 0.06%
iter 321: loss 4.1436, time 4807.36ms, mfu 0.06%
iter 322: loss 3.6718, time 2375.03ms, mfu 0.06%
iter 323: loss 4.6075, time 1867.19ms, mfu 0.06%
iter 324: loss 3.9868, time 3948.49ms, mfu 0.06%
iter 325: loss 4.9686, time 4814.70ms, mfu 0.06%
iter 326: loss 4.1199, time 4807.89ms, mfu 0.06%
iter 327: loss 4.2540, time 4806.71ms, mfu 0.06%
iter 328: loss 4.0961, time 4808.26ms, mfu 0.06%
iter 329: loss 3.9511, time 3737.89ms, mfu 0.05%
iter 330: loss 4.3594, time 1654.69ms, mfu 0.06%
iter 331: loss 3.7975, time 4206.47ms, mfu 0.06%
iter 332: loss 4.1612, time 3927.99ms, mfu 0.06%
iter 333: loss 4.2527, time 4762.91ms, mfu 0.06%
iter 334: loss 4.2449, time 4782.62ms, mfu 0.06%
iter 335: loss 3.8610, time 2739.90ms, mfu 0.06%
iter 336: loss 3.9788, time 4024.17ms, mfu 0.06%
iter 337: loss 3.9655, time 4123.60ms, mfu 0.06%
iter 338: loss 4.0777, time 4785.24ms, mfu 0.05%
iter 339: loss 4.3346, time 4806.25ms, mfu 0.05%
iter 340: loss 3.9411, time 2079.48ms, mfu 0.06%
iter 341: loss 4.3692, time 1829.46ms, mfu 0.06%
iter 342: loss 4.2589, time 2999.03ms, mfu 0.06%
iter 343: loss 4.1668, time 4787.12ms, mfu 0.06%
iter 344: loss 4.2899, time 4785.56ms, mfu 0.06%
iter 345: loss 3.7643, time 4807.68ms, mfu 0.06%
iter 346: loss 4.1577, time 4806.93ms, mfu 0.06%
iter 347: loss 3.6663, time 4764.13ms, mfu 0.05%
iter 348: loss 4.0605, time 1657.15ms, mfu 0.06%
iter 349: loss 4.2811, time 3186.92ms, mfu 0.06%
iter 350: loss 4.1696, time 4807.80ms, mfu 0.06%
iter 351: loss 4.1531, time 4807.22ms, mfu 0.06%
iter 352: loss 3.9938, time 4807.60ms, mfu 0.06%
iter 353: loss 4.0905, time 4807.62ms, mfu 0.05%
iter 354: loss 4.3136, time 2352.32ms, mfu 0.06%
iter 355: loss 4.0968, time 1961.97ms, mfu 0.06%
iter 356: loss 3.9185, time 1969.23ms, mfu 0.07%
iter 357: loss 4.5625, time 4540.89ms, mfu 0.06%
iter 358: loss 3.8103, time 4808.17ms, mfu 0.06%
iter 359: loss 3.7523, time 4806.88ms, mfu 0.06%
iter 360: loss 3.8759, time 4808.29ms, mfu 0.06%
iter 361: loss 4.2878, time 4807.86ms, mfu 0.06%
iter 362: loss 4.1323, time 4760.14ms, mfu 0.05%
iter 363: loss 3.8026, time 1585.02ms, mfu 0.06%
iter 364: loss 4.4414, time 3619.10ms, mfu 0.06%
iter 365: loss 4.1767, time 4808.97ms, mfu 0.06%
iter 366: loss 4.2663, time 4807.92ms, mfu 0.06%
iter 367: loss 4.1495, time 4807.31ms, mfu 0.06%
iter 368: loss 4.4241, time 4807.75ms, mfu 0.05%
iter 369: loss 4.2011, time 2079.55ms, mfu 0.06%
iter 370: loss 4.4515, time 1752.01ms, mfu 0.06%
iter 371: loss 4.3040, time 4605.85ms, mfu 0.06%
iter 372: loss 4.3556, time 4808.80ms, mfu 0.06%
iter 373: loss 4.0927, time 4807.79ms, mfu 0.06%
iter 374: loss 4.5674, time 4808.37ms, mfu 0.06%
iter 375: loss 4.3738, time 3858.51ms, mfu 0.06%
iter 376: loss 4.3691, time 1982.34ms, mfu 0.06%
iter 377: loss 4.2873, time 2001.64ms, mfu 0.06%
iter 378: loss 3.9607, time 2900.77ms, mfu 0.06%
iter 379: loss 4.5153, time 4783.46ms, mfu 0.06%
iter 380: loss 4.4512, time 4786.31ms, mfu 0.06%
iter 381: loss 4.1035, time 4785.94ms, mfu 0.06%
iter 382: loss 4.3395, time 4806.52ms, mfu 0.06%
iter 383: loss 3.8810, time 4808.00ms, mfu 0.06%
iter 384: loss 3.9716, time 3305.80ms, mfu 0.06%
iter 385: loss 4.6451, time 1646.40ms, mfu 0.06%
iter 386: loss 4.0456, time 4277.00ms, mfu 0.06%
iter 387: loss 4.0874, time 4808.06ms, mfu 0.06%
iter 388: loss 4.0032, time 4807.75ms, mfu 0.06%
iter 389: loss 3.9945, time 4787.46ms, mfu 0.06%
iter 390: loss 3.8552, time 2276.74ms, mfu 0.06%
iter 391: loss 4.6642, time 1984.38ms, mfu 0.06%
iter 392: loss 4.3210, time 3087.21ms, mfu 0.06%
iter 393: loss 4.0209, time 4808.17ms, mfu 0.06%
iter 394: loss 4.4282, time 4806.35ms, mfu 0.06%
iter 395: loss 4.4602, time 4806.88ms, mfu 0.06%
iter 396: loss 4.2017, time 4808.48ms, mfu 0.06%
iter 397: loss 3.9576, time 2417.95ms, mfu 0.06%
iter 398: loss 4.0621, time 1800.15ms, mfu 0.06%
iter 399: loss 4.0453, time 4354.68ms, mfu 0.06%
iter 400: loss 3.7072, time 4809.31ms, mfu 0.06%
iter 401: loss 4.5803, time 4807.30ms, mfu 0.06%
iter 402: loss 4.5015, time 4814.44ms, mfu 0.06%
iter 403: loss 4.1740, time 3402.47ms, mfu 0.06%
iter 404: loss 4.3838, time 2044.47ms, mfu 0.06%
iter 405: loss 4.1272, time 2071.44ms, mfu 0.06%
iter 406: loss 4.2865, time 4009.41ms, mfu 0.06%
iter 407: loss 4.0484, time 4808.16ms, mfu 0.06%
iter 408: loss 3.8350, time 4808.18ms, mfu 0.06%
iter 409: loss 4.2986, time 4808.38ms, mfu 0.06%
iter 410: loss 3.8549, time 4807.17ms, mfu 0.06%
iter 411: loss 4.0124, time 4808.39ms, mfu 0.05%
iter 412: loss 4.1322, time 4370.62ms, mfu 0.05%
iter 413: loss 4.1400, time 1561.01ms, mfu 0.06%
iter 414: loss 3.6866, time 3853.72ms, mfu 0.06%
iter 415: loss 3.8770, time 4808.21ms, mfu 0.06%
iter 416: loss 4.2741, time 4809.53ms, mfu 0.06%
iter 417: loss 4.0510, time 4812.03ms, mfu 0.05%
iter 418: loss 4.1567, time 2130.25ms, mfu 0.06%
iter 419: loss 4.5202, time 1818.39ms, mfu 0.06%
iter 420: loss 4.3841, time 4732.47ms, mfu 0.06%
iter 421: loss 4.0082, time 4806.65ms, mfu 0.06%
iter 422: loss 3.7261, time 4807.34ms, mfu 0.06%
iter 423: loss 3.7033, time 4673.39ms, mfu 0.06%
iter 424: loss 4.2748, time 1553.78ms, mfu 0.06%
iter 425: loss 4.3832, time 3606.00ms, mfu 0.06%
iter 426: loss 4.1553, time 4770.88ms, mfu 0.06%
iter 427: loss 3.8530, time 4785.23ms, mfu 0.06%
iter 428: loss 3.6759, time 4784.93ms, mfu 0.06%
iter 429: loss 4.4014, time 2029.57ms, mfu 0.06%
iter 430: loss 4.2059, time 4075.79ms, mfu 0.06%
iter 431: loss 4.1798, time 4809.07ms, mfu 0.06%
iter 432: loss 4.2109, time 4313.27ms, mfu 0.06%
iter 433: loss 3.7230, time 1798.27ms, mfu 0.06%
iter 434: loss 4.3918, time 2049.33ms, mfu 0.07%
iter 435: loss 4.2100, time 4811.05ms, mfu 0.06%
iter 436: loss 4.0425, time 4810.34ms, mfu 0.06%
iter 437: loss 4.4492, time 4850.44ms, mfu 0.06%
iter 438: loss 3.5895, time 4826.58ms, mfu 0.06%
iter 439: loss 3.9946, time 2427.82ms, mfu 0.06%
iter 440: loss 3.7767, time 2872.74ms, mfu 0.06%
iter 441: loss 3.8679, time 2552.63ms, mfu 0.06%
iter 442: loss 4.1612, time 3767.95ms, mfu 0.06%
iter 443: loss 3.9171, time 2852.22ms, mfu 0.06%
iter 444: loss 4.4395, time 3119.26ms, mfu 0.06%
iter 445: loss 4.1963, time 4421.88ms, mfu 0.06%
iter 446: loss 4.1256, time 4780.50ms, mfu 0.06%
