Number of parameters: 24,185,472
iter 424: loss 3.7643, time 95.68ms, mfu 2.04%
iter 425: loss 4.3775, time 95.46ms, mfu 2.04%
iter 426: loss 4.0663, time 95.74ms, mfu 2.04%
iter 427: loss 3.9920, time 96.58ms, mfu 2.04%
iter 428: loss 3.9438, time 96.15ms, mfu 2.03%
iter 429: loss 4.2578, time 95.43ms, mfu 2.04%
iter 430: loss 4.1972, time 95.43ms, mfu 2.04%
iter 431: loss 4.3771, time 96.16ms, mfu 2.04%
iter 432: loss 3.8794, time 95.44ms, mfu 2.04%
iter 433: loss 4.2719, time 96.02ms, mfu 2.04%
iter 434: loss 4.0679, time 95.78ms, mfu 2.04%
iter 435: loss 4.4002, time 96.53ms, mfu 2.03%
iter 436: loss 3.9863, time 95.35ms, mfu 2.04%
iter 437: loss 3.9098, time 95.99ms, mfu 2.04%
iter 438: loss 4.0221, time 95.46ms, mfu 2.04%
iter 439: loss 3.9414, time 95.26ms, mfu 2.04%
iter 440: loss 3.8474, time 96.42ms, mfu 2.04%
iter 441: loss 4.3771, time 96.04ms, mfu 2.04%
iter 442: loss 4.0864, time 95.53ms, mfu 2.04%
iter 443: loss 4.0545, time 95.50ms, mfu 2.04%
iter 444: loss 3.8803, time 96.81ms, mfu 2.04%
iter 445: loss 3.9244, time 95.74ms, mfu 2.04%
iter 446: loss 4.1283, time 95.42ms, mfu 2.04%
iter 447: loss 3.7093, time 95.70ms, mfu 2.04%
iter 448: loss 3.8751, time 97.05ms, mfu 2.03%
iter 449: loss 3.9732, time 95.37ms, mfu 2.04%
iter 450: loss 3.7571, time 96.08ms, mfu 2.03%
iter 451: loss 4.2167, time 95.90ms, mfu 2.03%
iter 452: loss 4.4444, time 96.11ms, mfu 2.03%
iter 453: loss 4.2673, time 95.61ms, mfu 2.04%
iter 454: loss 4.1193, time 95.76ms, mfu 2.04%
iter 455: loss 4.1741, time 95.65ms, mfu 2.04%
iter 456: loss 4.6494, time 95.75ms, mfu 2.04%
iter 457: loss 4.2974, time 96.16ms, mfu 2.04%
iter 458: loss 4.1022, time 95.98ms, mfu 2.04%
